name,team,player_link,battingStyle,bowlingStyle,playingRole
Fareed Ahmad,Afghanistan,https://www.espncricinfo.com/cricketers/fareed-ahmad-568136,Left hand Bat,Left arm Fast medium,Bowler
Fazalhaq Farooqi,Afghanistan,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,Right hand Bat,Left arm Fast medium,Bowler
Jos Buttler,England,https://www.espncricinfo.com/cricketers/jos-buttler-308967,Right hand Bat,,Wicketkeeper Batter
Alex Hales,England,https://www.espncricinfo.com/cricketers/alex-hales-249866,Right hand Bat,Right arm Medium,Opening Batter
Dawid Malan,England,https://www.espncricinfo.com/cricketers/dawid-malan-236489,Left hand Bat,Legbreak,Top order Batter
Ben Stokes,England,https://www.espncricinfo.com/cricketers/ben-stokes-311158,Left hand Bat,Right arm Fast medium,Allrounder
Liam Livingstone,England,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Harry Brook,England,https://www.espncricinfo.com/cricketers/harry-brook-911707,Right hand Bat,Right arm Medium,Batter
Moeen Ali,England,https://www.espncricinfo.com/cricketers/moeen-ali-8917,Left hand Bat,Right arm Offbreak,Batting Allrounder
Mohammad Rizwan,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389,Right hand Bat,,Wicketkeeper Batter
Babar Azam,Pakistan,https://www.espncricinfo.com/cricketers/babar-azam-348144,Right hand Bat,Right arm Offbreak,Batter
Shan Masood,Pakistan,https://www.espncricinfo.com/cricketers/shan-masood-233901,Left hand Bat,Right arm Medium fast,Opening Batter
Iftikhar Ahmed,Pakistan,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,Right hand Bat,Right arm Offbreak,Middle order Batter
Shadab Khan,Pakistan,https://www.espncricinfo.com/cricketers/shadab-khan-922943,Right hand Bat,Legbreak,Allrounder
Haider Ali,Pakistan,https://www.espncricinfo.com/cricketers/haider-ali-1168651,Right hand Bat,,Middle order Batter
Mohammad Nawaz,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148,Left hand Bat,Slow Left arm Orthodox,Allrounder
Asif Ali,Pakistan,https://www.espncricinfo.com/cricketers/asif-ali-494230,Right hand Bat,Right arm Offbreak,Middle order Batter
Shaheen Shah Afridi,Pakistan,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,Left hand Bat,Left arm Fast,Bowler
Haris Rauf,Pakistan,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,Right hand Bat,Right arm Fast,Bowler
KL Rahul,India,https://www.espncricinfo.com/cricketers/kl-rahul-422108,Right hand Bat,,Wicketkeeper Batter
Rohit Sharma,India,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,Right hand Bat,Right arm Offbreak,Top order Batter
Virat Kohli,India,https://www.espncricinfo.com/cricketers/virat-kohli-253802,Right hand Bat,Right arm Medium,Top order Batter
Suryakumar Yadav,India,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Axar Patel,India,https://www.espncricinfo.com/cricketers/axar-patel-554691,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Hardik Pandya,India,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,Right hand Bat,Right arm Medium fast,Allrounder
Dinesh Karthik,India,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Ravichandran Ashwin,India,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Najmul Hossain Shanto,Bangladesh,https://www.espncricinfo.com/cricketers/najmul-hossain-shanto-629058,Left hand Bat,Right arm Offbreak,Top order Batter
Soumya Sarkar,Bangladesh,https://www.espncricinfo.com/cricketers/soumya-sarkar-436677,Left hand Bat,Right arm Medium fast,Middle order Batter
Litton Das,Bangladesh,https://www.espncricinfo.com/cricketers/litton-das-536936,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Shakib Al Hasan,Bangladesh,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,Left hand Bat,Slow Left arm Orthodox,Allrounder
Afif Hossain,Bangladesh,https://www.espncricinfo.com/cricketers/afif-hossain-935995,Left hand Bat,Right arm Offbreak,Allrounder
Yasir Ali,Bangladesh,https://www.espncricinfo.com/cricketers/yasir-ali-629059,Right hand Bat,Right arm Offbreak,Middle order Batter
Nurul Hasan,Bangladesh,https://www.espncricinfo.com/cricketers/nurul-hasan-410765,Right hand Bat,,Wicketkeeper Batter
Mosaddek Hossain,Bangladesh,https://www.espncricinfo.com/cricketers/mosaddek-hossain-550133,Right hand Bat,Right arm Offbreak,Middle order Batter
Taskin Ahmed,Bangladesh,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,Left hand Bat,Right arm Fast,Bowler
Hasan Mahmud,Bangladesh,https://www.espncricinfo.com/cricketers/hasan-mahmud-926629,Right hand Bat,Right arm Fast medium,Bowler
Shariz Ahmad,Netherlands,https://www.espncricinfo.com/cricketers/shariz-ahmad-1278252,Left hand Bat,Legbreak Googly,Bowler
Quinton de Kock,South Africa,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,Left hand Bat,,Wicketkeeper Batter
Temba Bavuma,South Africa,https://www.espncricinfo.com/cricketers/temba-bavuma-372116,Right hand Bat,Right arm Medium,Middle order Batter
Fionn Hand,Ireland,https://www.espncricinfo.com/cricketers/fionn-hand-1099225,Right hand Bat,Right arm Medium,Bowling Allrounder
Rilee Rossouw,South Africa,https://www.espncricinfo.com/cricketers/rilee-rossouw-318845,Left hand Bat,Right arm Offbreak,Top order Batter
Tristan Stubbs,South Africa,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Aiden Markram,South Africa,https://www.espncricinfo.com/cricketers/aiden-markram-600498,Right hand Bat,Right arm Offbreak,Opening Batter
David Miller,South Africa,https://www.espncricinfo.com/cricketers/david-miller-321777,Left hand Bat,Right arm Offbreak,Middle order Batter
Wayne Parnell,South Africa,https://www.espncricinfo.com/cricketers/wayne-parnell-265564,Left hand Bat,Left arm Medium fast,Bowler
Mehidy Hasan Miraz,Bangladesh,https://www.espncricinfo.com/cricketers/mehidy-hasan-miraz-629063,Right hand Bat,Right arm Offbreak,Allrounder
Mustafizur Rahman,Bangladesh,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,Left hand Bat,Left arm Fast medium,Bowler
Brad Evans,Zimbabwe,https://www.espncricinfo.com/cricketers/brad-evans-696127,Right hand Bat,Right arm Fast,Allrounder
Mohammad Wasim,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Daryl Mitchell,New Zealand,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,Right hand Bat,Right arm Medium,Batting Allrounder
Mitchell Santner,New Zealand,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Ish Sodhi,New Zealand,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,Right hand Bat,Legbreak,Bowler
Tim Southee,New Zealand,https://www.espncricinfo.com/cricketers/tim-southee-232364,Right hand Bat,Right arm Medium fast,Bowler
Kasun Rajitha,Sri Lanka,https://www.espncricinfo.com/cricketers/kasun-rajitha-499594,Right hand Bat,Right arm Medium fast,Bowler
Lahiru Kumara,Sri Lanka,https://www.espncricinfo.com/cricketers/lahiru-kumara-784375,Left hand Bat,Right arm Fast,Bowler
Stephan Myburgh,Netherlands,https://www.espncricinfo.com/cricketers/stephan-myburgh-233712,Left hand Bat,Right arm Offbreak,Opening Batter
Fakhar Zaman,Pakistan,https://www.espncricinfo.com/cricketers/fakhar-zaman-512191,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Deepak Hooda,India,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,Right hand Bat,Right arm Offbreak,Allrounder
Bhuvneshwar Kumar,India,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,Right hand Bat,Right arm Medium,Bowler
Mohammed Shami,India,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,Right hand Bat,Right arm Fast,Bowler
Arshdeep Singh,India,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,Left hand Bat,Left arm Medium fast,Bowler
Gulbadin Naib,Afghanistan,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048,Right hand Bat,Right arm Medium fast,Batting Allrounder
Sam Curran,England,https://www.espncricinfo.com/cricketers/sam-curran-662973,Left hand Bat,Left arm Medium fast,Allrounder
Mohammad Haris,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-haris-1205559,Right hand Bat,Right arm Offbreak,Middle order Batter
Naseem Shah,Pakistan,https://www.espncricinfo.com/cricketers/naseem-shah-1158088,Right hand Bat,Right arm Fast,Bowler
Heinrich Klaasen,South Africa,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Kagiso Rabada,South Africa,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,Left hand Bat,Right arm Fast,Bowler
Anrich Nortje,South Africa,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,Right hand Bat,Right arm Fast,Bowler
Lungi Ngidi,South Africa,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023,Right hand Bat,Right arm Fast medium,Bowler
Tabraiz Shamsi,South Africa,https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145,Right hand Bat,Left arm Wrist spin,Bowler
Cameron Green,Australia,https://www.espncricinfo.com/cricketers/cameron-green-1076713,Right hand Bat,Right arm Fast medium,Batting Allrounder
Steven Smith,Australia,https://www.espncricinfo.com/cricketers/steven-smith-267192,Right hand Bat,Legbreak Googly,Middle order Batter
Kane Richardson,Australia,https://www.espncricinfo.com/cricketers/kane-richardson-272262,Right hand Bat,Right arm Fast medium,Bowler
Darwish Rasooli,Afghanistan,https://www.espncricinfo.com/cricketers/darwish-rasooli-819441,Right hand Bat,Right arm Offbreak,Top order Batter
Naveen-ul-Haq,Afghanistan,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,Right hand Bat,Right arm Medium fast,Bowler
Chris Woakes,England,https://www.espncricinfo.com/cricketers/chris-woakes-247235,Right hand Bat,Right arm Fast medium,Allrounder
Keshav Maharaj,South Africa,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,Right hand Bat,Slow Left arm Orthodox,Bowler
Nasum Ahmed,Bangladesh,https://www.espncricinfo.com/cricketers/nasum-ahmed-348049,Left hand Bat,Slow Left arm Orthodox,Bowler
Rishabh Pant,India,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,Left hand Bat,,Wicketkeeper Batter
Wellington Masakadza,Zimbabwe,https://www.espncricinfo.com/cricketers/wellington-masakadza-571703,Left hand Bat,Slow Left arm Orthodox,Bowler
Phil Salt,England,https://www.espncricinfo.com/cricketers/phil-salt-669365,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Ben Shikongo,Namibia,https://www.espncricinfo.com/cricketers/ben-shikongo-1069820,Right hand Bat,Right arm Medium fast,Bowler
Mark Watt,Scotland,https://www.espncricinfo.com/cricketers/mark-watt-659081,Left hand Bat,Slow Left arm Orthodox,Bowler
Brad Wheal,Scotland,https://www.espncricinfo.com/cricketers/brad-wheal-807535,Right hand Bat,Right arm Fast medium,Bowler
Safyaan Sharif,Scotland,https://www.espncricinfo.com/cricketers/safyaan-sharif-414970,Right hand Bat,Right arm Medium fast,Bowler
Binura Fernando,Sri Lanka,https://www.espncricinfo.com/cricketers/binura-fernando-629080,Right hand Bat,Left arm Medium fast,Bowler
